x;heatflux
2.394;-20580.9
2.396;-20896.7
2.398;-20612
2.4;-20184.6
2.402;-19977.1
2.404;-20778.4
2.406;-22141.2
2.408;-21163.2
2.41;-19303.2
2.412;-19917.8
2.414;-21316.9
2.416;-21140
2.418;-20374.2
2.42;-20430
2.422;-20347.7
2.424;-19862.5
2.426;-19688.9
2.428;-20604
2.43;-21947.8
2.432;-21172.9
2.434;-19699.8
2.436;-20592.1
2.438;-21968.2
2.44;-19675.7
2.442;-18083.9
2.444;-20138.6
2.446;-21576.8
2.448;-21969.1
2.45;-20361.7
2.452;-18770.3
2.454;-20132.5
2.456;-21051.3
2.458;-20629.4
2.46;-20560.8
2.462;-20837.2
2.464;-20712.3
2.466;-20371
2.468;-19999.3
2.47;-19462.9
2.472;-20158.1
2.474;-21544.9
2.476;-21218.7
2.478;-20078
2.48;-19876.3
2.482;-20140.6
2.484;-20235.5
2.486;-20770.4
2.488;-21369.1
2.49;-21057.3
2.492;-18367
2.494;-17780.4
2.496;-19798.4
2.498;-15511.8
2.5;-10962
