x;maxQ;maxQm10;maxQp10;maxQp20
1.782;0.250337;0.376674;0.0868478;0.0160162
1.784;0.250359;0.376627;0.0868486;0.016016
1.786;0.250372;0.376631;0.0868531;0.016017
1.788;0.250364;0.376818;0.0868594;0.0160192
1.79;0.250326;0.376813;0.0868647;0.0160224
1.792;0.250277;0.376582;0.0868672;0.0160241
1.794;0.250231;0.376452;0.0868651;0.0160239
1.796;0.250205;0.376428;0.0868576;0.0160224
1.798;0.250203;0.376421;0.0868453;0.0160195
1.8;0.250216;0.376379;0.0868306;0.0160156
1.802;0.250239;0.376426;0.0868157;0.0160114
1.804;0.250262;0.376485;0.0868029;0.0160072
1.806;0.250281;0.376364;0.0867933;0.0160036
1.808;0.250294;0.376175;0.0867868;0.0160006
1.81;0.250289;0.37638;0.0867855;0.0159981
1.812;0.250267;0.375883;0.0867888;0.0159961
1.814;0.250259;0.374915;0.0867933;0.0159944
1.816;0.250267;0.376277;0.0867988;0.0159939
1.818;0.250277;0.377663;0.0868075;0.0159952
1.82;0.250283;0.376648;0.0868207;0.0159985
1.822;0.250269;0.374619;0.0868353;0.0160029
1.824;0.250245;0.374549;0.086847;0.0160053
1.826;0.25024;0.37699;0.0868535;0.016005
1.828;0.250251;0.379841;0.0868513;0.0160035
1.83;0.250266;0.378983;0.0868416;0.016001
1.832;0.250274;0.373245;0.0868291;0.0159979
1.834;0.250265;0.371839;0.0868149;0.0159941
1.836;0.250233;0.376082;0.0867997;0.0159897
1.838;0.250186;0.377357;0.0867848;0.015985
1.84;0.250162;0.375795;0.0867718;0.0159806
1.842;0.25017;0.375902;0.086761;0.0159769
1.844;0.250196;0.376484;0.0867541;0.0159745
1.846;0.25024;0.376069;0.0867538;0.0159743
1.848;0.250288;0.375613;0.0867602;0.0159761
1.85;0.2503;0.375297;0.0867701;0.0159778
1.852;0.250265;0.375651;0.08678;0.0159782
1.854;0.250211;0.37611;0.0867869;0.0159767
1.856;0.250145;0.375102;0.0867843;0.0159724
1.858;0.250088;0.374708;0.0867726;0.0159664
1.86;0.250087;0.376344;0.0867579;0.0159606
1.862;0.250117;0.377112;0.0867447;0.0159568
1.864;0.250134;0.376264;0.0867385;0.0159557
1.866;0.250131;0.375492;0.0867407;0.0159557
1.868;0.250116;0.375197;0.0867466;0.0159553
1.87;0.250107;0.375329;0.086751;0.0159539
1.872;0.250114;0.375392;0.0867526;0.0159516
1.874;0.250116;0.375708;0.0867501;0.0159491
1.876;0.2501;0.376201;0.0867444;0.0159466
1.878;0.250069;0.375738;0.0867377;0.0159444
1.88;0.250028;0.375229;0.0867302;0.0159422
1.882;0.249985;0.375449;0.0867224;0.0159401
1.884;0.24996;0.375505;0.0867146;0.0159381
1.886;0.249958;0.375369;0.0867074;0.0159362
1.888;0.249963;0.375395;0.0867013;0.0159346
1.89;0.249968;0.375429;0.0866966;0.0159332
1.892;0.249965;0.375468;0.0866932;0.0159319
1.894;0.249946;0.375534;0.0866902;0.0159306
1.896;0.249917;0.375467;0.0866869;0.0159289
1.898;0.249891;0.375186;0.0866825;0.0159267
1.9;0.249867;0.375013;0.086677;0.0159241
1.902;0.249849;0.375114;0.0866707;0.0159213
1.904;0.249845;0.375244;0.0866643;0.0159184
1.906;0.249843;0.375318;0.0866582;0.0159154
1.908;0.249845;0.375344;0.0866524;0.0159133
1.91;0.249846;0.375261;0.086649;0.0159123
1.912;0.249833;0.375105;0.0866487;0.0159124
1.914;0.249807;0.375033;0.0866514;0.0159135
1.916;0.249772;0.375065;0.0866567;0.0159155
1.918;0.24973;0.375041;0.0866623;0.0159182
1.92;0.249688;0.375052;0.0866665;0.0159199
1.922;0.249653;0.375187;0.086669;0.01592
1.924;0.249626;0.375173;0.0866659;0.0159189
1.926;0.249605;0.37499;0.0866566;0.0159164
1.928;0.249589;0.374978;0.086644;0.0159128
1.93;0.249576;0.375053;0.0866292;0.015909
1.932;0.249562;0.374943;0.0866145;0.0159053
1.934;0.249545;0.374859;0.0866016;0.0159021
1.936;0.249525;0.374922;0.0865913;0.0158994
1.938;0.249504;0.37494;0.0865837;0.0158973
1.94;0.249486;0.374888;0.0865783;0.0158959
1.942;0.249469;0.375038;0.0865746;0.0158954
1.944;0.249448;0.375041;0.086572;0.0158955
1.946;0.249429;0.374481;0.0865697;0.0158962
1.948;0.249416;0.374309;0.0865667;0.0158973
1.95;0.249402;0.374777;0.0865623;0.015898
1.952;0.249387;0.37499;0.0865559;0.015898
1.954;0.249366;0.374888;0.0865477;0.0158976
1.956;0.249337;0.374863;0.0865381;0.0158966
1.958;0.249301;0.374795;0.0865275;0.015895
1.96;0.249262;0.374955;0.0865165;0.0158928
1.962;0.249224;0.374941;0.0865054;0.0158902
1.964;0.249191;0.37373;0.0864944;0.0158873
1.966;0.249164;0.373617;0.0864838;0.0158842
1.968;0.249146;0.37598;0.0864737;0.0158811
1.97;0.249128;0.376654;0.0864649;0.0158781
1.972;0.24911;0.374495;0.0864575;0.0158752
1.974;0.249101;0.373512;0.0864508;0.0158727
1.976;0.2491;0.37426;0.0864467;0.0158709
1.978;0.249112;0.374695;0.086446;0.0158702
1.98;0.249134;0.374649;0.0864487;0.0158707
1.982;0.249131;0.374495;0.086455;0.0158721
1.984;0.249097;0.374508;0.0864635;0.0158742
1.986;0.249039;0.375399;0.0864711;0.0158763
1.988;0.248968;0.375661;0.0864756;0.0158774
1.99;0.248896;0.373792;0.0864771;0.0158772
1.992;0.248856;0.373118;0.0864729;0.0158762
1.994;0.24886;0.374877;0.0864638;0.0158744
1.996;0.248873;0.37551;0.0864536;0.0158721
1.998;0.248883;0.373951;0.0864424;0.0158696
2;0.248885;0.373214;0.0864314;0.0158671
2.002;0.248864;0.374431;0.0864219;0.0158649
2.004;0.248826;0.375334;0.0864149;0.0158638
2.006;0.248782;0.375034;0.0864108;0.015864
2.008;0.248734;0.374784;0.0864092;0.0158645
2.01;0.248696;0.374538;0.0864084;0.0158647
2.012;0.248689;0.373267;0.0864071;0.0158641
2.014;0.248698;0.373115;0.0864043;0.0158626
2.016;0.248712;0.376189;0.0864;0.0158604
2.018;0.248714;0.377191;0.0863952;0.0158585
2.02;0.248691;0.373604;0.0863903;0.0158572
2.022;0.248658;0.372036;0.0863855;0.0158566
2.024;0.248626;0.372929;0.0863818;0.0158569
2.026;0.248617;0.373566;0.0863799;0.0158582
2.028;0.248627;0.375321;0.0863802;0.0158604
2.03;0.248644;0.375951;0.0863834;0.0158631
2.032;0.248651;0.374217;0.0863887;0.015866
2.034;0.248629;0.373191;0.0863939;0.0158692
2.036;0.248586;0.373617;0.0863973;0.0158708
2.038;0.248535;0.373157;0.086399;0.0158704
2.04;0.248487;0.372866;0.0863958;0.0158689
2.042;0.248447;0.374392;0.0863875;0.0158661
2.044;0.248429;0.37664;0.0863769;0.0158628
2.046;0.248423;0.376272;0.0863654;0.0158595
2.048;0.248418;0.372638;0.0863553;0.0158562
2.05;0.248412;0.368587;0.0863473;0.0158543
2.052;0.248406;0.370278;0.0863431;0.0158537
2.054;0.2484;0.378927;0.0863433;0.0158537
2.056;0.248394;0.380122;0.0863463;0.0158547
2.058;0.24839;0.372693;0.0863518;0.0158565
2.06;0.248386;0.370074;0.0863586;0.0158587
2.062;0.248376;0.372589;0.0863649;0.0158609
2.064;0.248363;0.374144;0.0863695;0.0158628
2.066;0.248348;0.374118;0.0863722;0.0158643
2.068;0.248329;0.373765;0.0863719;0.0158649
2.07;0.248309;0.37366;0.0863679;0.0158646
2.072;0.248288;0.37374;0.0863613;0.0158636
2.074;0.248269;0.373798;0.086353;0.015862
