x;maxQ;maxQm1;maxQp1;;;
1.20515;-68439.8;-66057.8;-63187.8;;;
1.20735;-68307.3;-65929.6;-63112.9;;;
1.20956;-68177;-65803.1;-63039.6;;;
1.21176;-68049.6;-65678.4;-62968.1;;;
1.21397;-67925.1;-65555.5;-62898.3;;;
1.21618;-67803;-65434.6;-62830.4;;;
1.21838;-67682.5;-65315.4;-62764.3;;;
1.22059;-67563.4;-65198.3;-62700;;;
1.22279;-67445.8;-65083.2;-62637.3;;;
1.225;-67329.7;-64969.4;-62576.1;;;
1.22721;-67215.3;-64856.2;-62516.3;;;
1.22941;-67102.2;-64743.5;-62457.9;;;
1.23162;-66990.5;-64631.7;-62400.6;;;
1.23382;-66880.5;-64521.1;-62344.5;;;
1.23603;-66772.1;-64412.3;-62290;;;
1.23824;-66665.2;-64305.7;-62237.1;;;
1.24044;-66559.8;-64201.1;-62185.6;;;
1.24265;-66455.9;-64098;-62135.6;;;
1.24485;-66353.1;-63995.9;-62087;;;
1.24706;-66251.5;-63894.7;-62040;;;
1.24926;-66151.1;-63794.5;-61994.3;;;
1.25147;-66051.9;-63695.4;-61950;;;
1.25368;-65954.3;-63597.5;-61906.8;;;
1.25588;-65858.5;-63501;-61864.6;;;
1.25809;-65764.2;-63405.7;-61823.2;;;
1.26029;-65670.9;-63311.7;-61782.3;;;
1.2625;-65578;-63218.7;-61741.8;;;
1.26471;-65485.6;-63126.8;-61701.5;;;
1.26691;-65394;-63035.7;-61661.7;;;
1.26912;-65303.4;-62945.5;-61622.5;;;
1.27132;-65213.9;-62856.1;-61584;;;
1.27353;-65125.3;-62767.4;-61546.1;;;
1.27574;-65037.6;-62679.5;-61508.5;;;
1.27794;-64951;-62592.3;-61470.9;;;
1.28015;-64865.1;-62505.9;-61433.1;;;
1.28235;-64779.7;-62420.3;-61395.1;;;
1.28456;-64695.2;-62335.5;-61356.8;;;
1.28676;-64611.3;-62251.8;-61318.3;;;
1.28897;-64528;-62169.1;-61279.6;;;
1.29118;-64445.2;-62086.7;-61240.7;;;
