x;maxQ;maxQm1;maxQp1;;;
2.21103;-52110.3;-49479.2;-53030.4;;;
2.21323;-52097.7;-49469.7;-53018.9;;;
2.21544;-52085.6;-49460.4;-53007.5;;;
2.21765;-52073.7;-49451.2;-52996.1;;;
2.21985;-52062.1;-49442.2;-52984.7;;;
2.22206;-52050.5;-49433.3;-52973.4;;;
2.22426;-52039;-49424.4;-52962;;;
2.22647;-52027.3;-49415.6;-52950.6;;;
2.22868;-52015.5;-49406.9;-52939.1;;;
2.23088;-52003.5;-49398.1;-52927.3;;;
2.23309;-51991.5;-49389.3;-52915.4;;;
2.23529;-51979.4;-49380.4;-52903.2;;;
2.2375;-51967.4;-49371.5;-52891;;;
2.23971;-51955.3;-49362.3;-52878.6;;;
2.24191;-51943.2;-49352.8;-52866.2;;;
2.24412;-51931.2;-49343;-52853.9;;;
2.24632;-51919.1;-49332.9;-52841.7;;;
2.24853;-51907.1;-49322.5;-52829.6;;;
2.25073;-51895.1;-49311.8;-52817.7;;;
2.25294;-51883;-49300.9;-52805.9;;;
2.25515;-51870.7;-49289.8;-52794.4;;;
2.25735;-51858.1;-49278.6;-52783;;;
2.25956;-51845.3;-49267.2;-52771.8;;;
2.26176;-51832.1;-49255.8;-52760.9;;;
2.26397;-51818.6;-49244.5;-52750.2;;;
2.26618;-51804.8;-49233.4;-52739.7;;;
2.26838;-51790.7;-49222.8;-52729.2;;;
2.27059;-51776.4;-49212.7;-52718.6;;;
2.27279;-51762.1;-49202.9;-52707.7;;;
2.275;-51747.7;-49193.3;-52696.4;;;
2.27721;-51733.6;-49183.8;-52684.8;;;
2.27941;-51719.7;-49174.1;-52673.1;;;
2.28162;-51706.2;-49164.2;-52661.2;;;
2.28382;-51693;-49154.2;-52649.4;;;
2.28603;-51679.9;-49144.1;-52637.5;;;
2.28823;-51666.9;-49134.1;-52625.5;;;
2.29044;-51654;-49124.1;-52613.2;;;
2.29265;-51641.3;-49114.1;-52600.6;;;
2.29485;-51628.7;-49104.1;-52587.8;;;
2.29706;-51616.1;-49093.8;-52574.7;;;
2.29926;-51603.3;-49083.2;-52561.5;;;
2.30147;-51590.4;-49072.4;-52548.3;;;
2.30368;-51577.4;-49061.4;-52535.3;;;
2.30588;-51564.6;-49050.3;-52522.5;;;
2.30809;-51552.1;-49039.2;-52509.6;;;
2.31029;-51540;-49028.2;-52496.8;;;
2.3125;-51528.3;-49017.4;-52483.7;;;
2.31471;-51517;-49006.7;-52470.2;;;
2.31691;-51505.9;-48996.1;-52456.4;;;
2.31912;-51495;-48985.6;-52442.2;;;
2.32132;-51484;-48975.1;-52427.7;;;
2.32353;-51473;-48964.7;-52413;;;
2.32573;-51461.9;-48954.1;-52398.1;;;
2.32794;-51450.5;-48943.6;-52383.1;;;
2.33015;-51438.7;-48933.1;-52368.1;;;
2.33235;-51426.6;-48922.8;-52353.3;;;
2.33456;-51414;-48912.9;-52338.7;;;
2.33676;-51400.9;-48903.4;-52324.6;;;
2.33897;-51387.3;-48894.6;-52311.1;;;
2.34118;-51373.4;-48886.5;-52298;;;
2.34338;-51359.2;-48878.9;-52285.4;;;
2.34559;-51344.9;-48871.7;-52273.1;;;
2.34779;-51330.5;-48864.6;-52260.9;;;
2.35;-51316.2;-48857.5;-52248.7;;;
2.35221;-51302;-48850.3;-52236.4;;;
2.35441;-51288.1;-48842.6;-52224.1;;;
2.35662;-51274.3;-48834.5;-52211.9;;;
2.35882;-51260.8;-48826;-52199.8;;;
2.36103;-51247.4;-48817.4;-52187.8;;;
2.36323;-51234.2;-48808.6;-52176.1;;;
2.36544;-51221.2;-48799.9;-52164.6;;;
2.36765;-51208.3;-48791.2;-52153.2;;;
2.36985;-51195.5;-48782.5;-52141.9;;;
2.37206;-51183;-48774;-52130.6;;;
2.37426;-51170.6;-48765.5;-52119.3;;;
2.37647;-51158.5;-48757.3;-52108.1;;;
2.37868;-51146.7;-48749.3;-52097.1;;;
2.38088;-51135.2;-48741.4;-52086.2;;;
2.38309;-51124.1;-48733.6;-52075.6;;;
2.38529;-51113.3;-48726;-52065;;;
2.3875;-51102.9;-48718.5;-52054.6;;;
2.38971;-51092.8;-48711.1;-52044.1;;;
2.39191;-51083;-48703.8;-52033.5;;;
2.39412;-51073.4;-48696.5;-52022.8;;;
2.39632;-51063.9;-48689.4;-52012;;;
2.39853;-51054.5;-48682.4;-52001.1;;;
2.40073;-51045.1;-48675.6;-51990;;;
2.40294;-51035.5;-48669.1;-51978.5;;;
2.40515;-51025.6;-48662.7;-51966.5;;;
2.40735;-51015.4;-48656.4;-51953.9;;;
2.40956;-51004.7;-48650.2;-51940.8;;;
2.41176;-50993.5;-48643.9;-51927.6;;;
2.41397;-50981.6;-48637.4;-51914.3;;;
2.41618;-50969.2;-48630.7;-51901.2;;;
2.41838;-50956.3;-48623.8;-51888.4;;;
2.42059;-50943.1;-48616.6;-51875.8;;;
2.42279;-50929.8;-48609.2;-51863.3;;;
2.425;-50916.6;-48601.8;-51850.9;;;
2.42721;-50903.7;-48594.2;-51838.6;;;
2.42941;-50891.3;-48586.4;-51826.3;;;
2.43162;-50879.4;-48578.6;-51813.8;;;
2.43382;-50868.2;-48570.6;-51801.2;;;
2.43603;-50857.6;-48562.6;-51788.2;;;
2.43823;-50847.6;-48554.5;-51774.8;;;
2.44044;-50838;-48546.3;-51760.9;;;
2.44265;-50828.8;-48538.2;-51746.1;;;
2.44485;-50819.8;-48530;-51730.3;;;
2.44706;-50810.9;-48521.9;-51713.8;;;
2.44926;-50802.1;-48513.6;-51696.6;;;
2.45147;-50793.5;-48505.3;-51678.7;;;
2.45368;-50784.8;-48496.7;-51660.5;;;
2.45588;-50776.3;-48487.8;-51642.3;;;
2.45809;-50767.7;-48478.4;-51624.4;;;
2.46029;-50759.2;-48468.5;-51607;;;
2.4625;-50750.4;-48457.8;-51590.3;;;
2.46471;-50741.5;-48446.5;-51574.6;;;
2.46691;-50732.3;-48434.5;-51559.9;;;
2.46912;-50722.7;-48422;-51546.3;;;
2.47132;-50712.7;-48409.1;-51533.6;;;
2.47353;-50702.2;-48395.7;-51521.9;;;
2.47573;-50691.4;-48382.1;-51511.1;;;
2.47794;-50680.2;-48368.1;-51501.2;;;
2.48015;-50668.7;-48354;-51491.9;;;
2.48235;-50656.9;-48339.6;-51482.8;;;
2.48456;-50645.3;-48325.5;-51475.1;;;
2.48676;-50633.6;-48311.7;-51465.6;;;
2.48897;-50630.5;-48308.6;-51468.3;;;
2.49118;-50541.5;-48225.7;-51300.5;;;
2.49338;-50315.7;-48032.3;-51111.7;;;
2.49559;-51531.1;-49064;-53042;;;
2.49779;-49899.3;-46623.3;-53886.7;;;
2.5;-46917.5;-43042.9;-52788.9;;;
