x;heatflux
1.994;-48552.2
1.996;-48543
1.998;-48532.2
2;-48514.8
2.002;-48491.4
2.004;-48467.5
2.006;-48443.3
2.008;-48420.5
2.01;-48407.3
2.012;-48401.5
2.014;-48393.5
2.016;-48388.4
2.018;-48375.4
2.02;-48355.8
2.022;-48339.6
2.024;-48328.7
2.026;-48321.7
2.028;-48311.9
2.03;-48302.6
2.032;-48286.7
2.034;-48263.2
2.036;-48239.7
2.038;-48218.1
2.04;-48199.5
2.042;-48186.2
2.044;-48176.5
2.046;-48166.6
2.048;-48156
2.05;-48144.2
2.052;-48131.7
2.054;-48119.2
2.056;-48106.8
2.058;-48095.3
2.06;-48082.8
2.062;-48069.5
2.064;-48057
2.066;-48044.1
2.068;-48030.9
2.07;-48017.9
2.072;-48004.3
2.074;-47991.9
2.076;-47981
2.078;-47969.8
2.08;-47958.3
2.082;-47946.3
2.084;-47932.3
2.086;-47916.2
2.088;-47899.7
2.09;-47882.9
2.092;-47866.7
2.094;-47850.8
2.096;-47834.3
2.098;-47820.5
2.1;-47811.2
2.102;-47805
2.104;-47799.8
2.106;-47793.1
2.108;-47780.9
2.11;-47763.3
2.112;-47744.7
2.114;-47727.1
2.116;-47711.5
2.118;-47701.9
2.12;-47695.3
2.122;-47685.6
2.124;-47674.6
2.126;-47660.8
2.128;-47644.6
2.13;-47632.2
2.132;-47623.5
2.134;-47615.5
2.136;-47607.4
2.138;-47596.9
2.14;-47582.2
2.142;-47562.6
2.144;-47539.7
2.146;-47516.8
2.148;-47495.1
2.15;-47481
2.152;-47474.2
2.154;-47468.3
2.156;-47462.9
2.158;-47455.4
2.16;-47446.1
2.162;-47434.2
2.164;-47419.4
2.166;-47404.8
2.168;-47391.4
2.17;-47378
2.172;-47367.1
2.174;-47357.2
2.176;-47345.8
2.178;-47335.6
2.18;-47326.4
2.182;-47317.4
2.184;-47308.4
2.186;-47297.9
2.188;-47285.5
2.19;-47271.6
2.192;-47256.1
2.194;-47239.1
2.196;-47219.3
2.198;-47199.2
2.2;-47180.7
2.202;-47164
2.204;-47148.2
2.206;-47143.2
2.208;-47143.3
2.21;-47137.7
2.212;-47132.4
2.214;-47125.8
2.216;-47117
2.218;-47107.2
2.22;-47098
2.222;-47089.5
2.224;-47078.8
2.226;-47071.2
2.228;-47048.8
2.23;-47016.1
2.232;-46993.1
2.234;-46972.5
2.236;-46954.6
2.238;-46946.2
2.24;-46944.4
2.242;-46940.2
2.244;-46935
2.246;-46927.5
2.248;-46917.6
2.25;-46906.4
2.252;-46894.5
2.254;-46882.3
2.256;-46870.2
2.258;-46856.9
2.26;-46845.2
2.262;-46831.7
2.264;-46816.3
2.266;-46801.1
2.268;-46782.8
2.27;-46764.4
2.272;-46747.9
2.274;-46737
2.276;-46730.6
2.278;-46723.4
2.28;-46714.7
2.282;-46703.4
2.284;-46690.3
2.286;-46677.3
2.288;-46665
2.29;-46654.1
2.292;-46644.2
2.294;-46632.3
2.296;-46619.1
2.298;-46605.7
2.3;-46591.7
2.302;-46578.1
2.304;-46565.2
2.306;-46554.5
2.308;-46545.5
2.31;-46536.1
2.312;-46526.6
2.314;-46516.2
2.316;-46507.5
2.318;-46494
2.32;-46476.2
2.322;-46460.4
2.324;-46443.7
2.326;-46427.8
2.328;-46413.5
2.33;-46400.7
2.332;-46387.8
2.334;-46377.2
2.336;-46370.2
2.338;-46364.9
2.34;-46360.2
2.342;-46355
2.344;-46343.6
2.346;-46326.6
2.348;-46308
2.35;-46286.3
2.352;-46265.8
2.354;-46248.7
2.356;-46238.5
2.358;-46231.5
2.36;-46224.4
2.362;-46218
2.364;-46209.3
2.366;-46199.3
2.368;-46186.7
2.37;-46172.3
2.372;-46158.3
2.374;-46144.4
2.376;-46131.8
2.378;-46120.7
2.38;-46110.9
2.382;-46101.1
2.384;-46090.4
2.386;-46078.8
2.388;-46066.9
2.39;-46055.5
2.392;-46044.9
2.394;-46035.2
2.396;-46026.6
2.398;-46017.9
2.4;-46007.9
2.402;-45997.3
2.404;-45986.7
2.406;-45976.3
2.408;-45966.9
2.41;-45955.3
2.412;-45941.7
2.414;-45929.6
2.416;-45918.3
2.418;-45907.3
2.42;-45901.9
2.422;-45898.7
2.424;-45890.4
2.426;-45883.5
2.428;-45866.4
2.43;-45841.7
2.432;-45822.5
2.434;-45805.8
2.436;-45790
2.438;-45789.5
2.44;-45797.3
2.442;-45793.6
2.444;-45787.1
2.446;-45772.7
2.448;-45753.9
2.45;-45742.5
2.452;-45736.7
2.454;-45731.6
2.456;-45726.9
2.458;-45714.2
2.46;-45695.3
2.462;-45679.8
2.464;-45666.2
2.466;-45655.2
2.468;-45646.7
2.47;-45639.1
2.472;-45630.8
2.474;-45620.6
2.476;-45613.9
2.478;-45609.4
2.48;-45602.2
2.482;-45594.4
2.484;-45585.3
2.486;-45578.2
2.488;-45563.8
2.49;-45556.3
2.492;-45429
2.494;-45438.3
2.496;-46441.5
2.498;-45224.7
2.5;-43146.9
